codigo_submodalidade_v2,modalidade_v2,submodalidade_v2,cliente,origem,modalidade_v1,modalidade_v1_alternativa,modalidade_v1_inferida,regra,ambiguidade
0213,Empréstimos,Cheque especial,PJ,Com destinação específica,PJ - Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,,,base,
0214,Empréstimos,Conta Garantida,PF,Sem destinação específica,PF - Outros créditos,,,base,
0214,Empréstimos,Conta Garantida,PF,Com destinação específica,PF - Outros créditos,,,base,
0214,Empréstimos,Conta Garantida,PJ,Sem destinação específica,PJ - Cheque especial e conta garantida,,,base,
0214,Empréstimos,Conta Garantida,PJ,Com destinação específica,PJ - Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,,,base,
0215,Empréstimos,Capital de giro com prazo de vencimento até 365 dias,PF,Sem destinação específica,PF - Outros créditos,,,base,
0215,Empréstimos,Capital de giro com prazo de vencimento até 365 dias,PF,Com destinação específica,PF - Outros créditos,,,base,
0215,Empréstimos,Capital de giro com prazo de vencimento até 365 dias,PJ,Sem destinação específica,PJ - Capital de giro,,,base,
0215,Empréstimos,Capital de giro com prazo de vencimento até 365 dias,PJ,Com destinação específica,PJ - Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,,,base,
0216,Empréstimos,Capital de giro com prazo de vencimento superior a 365 dias,PF,Sem destinação específica,PF - Outros créditos,,,base,
0216,Empréstimos,Capital de giro com prazo de vencimento superior a 365 dias,PF,Com destinação específica,PF - Outros créditos,,,base,
0216,Empréstimos,Capital de giro com prazo de vencimento superior a 365 dias,PJ,Sem destinação específica,PJ - Capital de giro,,,base,
0216,Empréstimos,Capital de giro com prazo de vencimento superior a 365 dias,PJ,Com destinação específica,PJ - Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,,,base,
0217,Empréstimos,Capital de giro com teto rotativo,PF,Sem destinação específica,PF - Outros créditos,,,base,
0217,Empréstimos,Capital de giro com teto rotativo,PF,Com destinação específica,PF - Outros créditos,,,base,
0217,Empréstimos,Capital de giro com teto rotativo,PJ,Sem destinação específica,PJ - Capital de giro,,,base,
0217,Empréstimos,Capital de giro com teto rotativo,PJ,Com destinação específica,PJ - Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,,,base,
0218,Empréstimos,Cartão de crédito - não migrado,PF,Sem destinação específica,PF - Cartão de crédito,,,base,
0218,Empréstimos,Cartão de crédito - não migrado,PF,Com destinação específica,PF - Cartão de crédito,,,base,
0218,Empréstimos,Cartão de crédito - não migrado,PJ,Sem destinação específica,PJ - Outros créditos,,,base,
0218,Empréstimos,Cartão de crédito - não migrado,PJ,Com destinação específica,PJ - Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,,,base,
0250,Empréstimos,Recebíveis adquiridos,PF,Sem destinação específica,PF - Outros créditos,,,base,
0250,Empréstimos,Recebíveis adquiridos,PF,Com destinação específica,PF - Outros créditos,,,base,
0250,Empréstimos,Recebíveis adquiridos,PJ,Sem destinação específica,PJ - Operações com recebíveis,,,base,
0250,Empréstimos,Recebíveis adquiridos,PJ,Com destinação específica,PJ - Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,,,base,
0290,Empréstimos,Financiamento de projeto,PF,Sem destinação específica,PF - Outros créditos,,,base,
0290,Empréstimos,Financiamento de projeto,PF,Com destinação específica,PF - Outros créditos,,,base,
0290,Empréstimos,Financiamento de projeto,PJ,Sem destinação específica,PJ - Outros créditos,,,base,
0290,Empréstimos,Financiamento de projeto,PJ,Com destinação específica,PJ - Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,,,base,
0299,Empréstimos,Outros empréstimos,PF,Sem destinação específica,PF - Outros créditos,,,base,
0299,Empréstimos,Outros empréstimos,PF,Com destinação específica,PF - Outros créditos,,,base,
0299,Empréstimos,Outros empréstimos,PJ,Sem destinação específica,PJ - Outros créditos,,,base,
0299,Empréstimos,Outros empréstimos,PJ,Com destinação específica,PJ - Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,,,base,
0301,Direitos creditórios descontados,Desconto de duplicatas,PF,Sem destinação específica,PF - Outros créditos,,,base,
0301,Direitos creditórios descontados,Desconto de duplicatas,PF,Com destinação específica,PF - Outros créditos,,,base,
0301,Direitos creditórios descontados,Desconto de duplicatas,PJ,Sem destinação específica,PJ - Operações com recebíveis,,,base,
0301,Direitos creditórios descontados,Desconto de duplicatas,PJ,Com destinação específica,PJ - Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,,,base,
0302,Direitos creditórios descontados,Desconto de cheques,PF,Sem destinação específica,PF - Outros créditos,,,base,
0302,Direitos creditórios descontados,Desconto de cheques,PF,Com destinação específica,PF - Outros créditos,,,base,
0302,Direitos creditórios descontados,Desconto de cheques,PJ,Sem destinação específica,PJ - Operações com recebíveis,,,base,
0302,Direitos creditórios descontados,Desconto de cheques,PJ,Com destinação específica,PJ - Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,,,base,
0303,Direitos creditórios descontados,Antecipação de fatura de cartão de crédito,PF,Sem destinação específica,PF - Outros créditos,,,base,
0303,Direitos creditórios descontados,Antecipação de fatura de cartão de crédito,PF,Com destinação específica,PF - Outros créditos,,,base,
